greenMean,redMean,blueMean,PDer,PDeb,PDvr,PDvb,FehOne,FevOne,FedOne,FeaTwo,FehTwo,FevTwo,FedTwo,month,day,hour,min,sec,group
32.2698735241309,26.5449629330217,8.70514031557457,5.78643796736466,23.5647332085563,124.007223292133,1778.62378442642,0.00815955088886173,0.0198796340275491,0.00286513915711402,0.945032525117172,0.0129318737303945,0.0373569004590782,0.00467870069335487,11,30,14,20,13,0
47.2634325691473,40.714680192965,14.3822387517611,6.95774642730567,32.8811938173862,161.765345577873,2438.15285638871,0.00829301797235008,0.0236881567586293,0.00323955684999282,0.946544703026598,0.0116637998512846,0.0364403586354093,0.00535113848670775,11,30,14,29,25,0
5.46445392476473,5.4996807348371,2.30376908634512,0.432971157760926,3.168161208404,22.1088829717716,202.286122462097,0.0466931045251339,0.0922710130653799,0.0185408523015207,0.768140006815541,0.0650227663613971,0.13564140604533,0.0311958207777324,11,30,14,35,32,0
18.7390197680788,16.2418133382541,10.2582759974107,2.75314505475837,8.48074377066803,52.2184094106914,341.045557252265,0.0100232700923527,0.0239125267400623,0.00331667163596871,0.93291322563527,0.0170437565349379,0.044246578395125,0.00579643943466726,12,3,12,18,34,0
26.6421982138725,23.0827292192063,18.7676284163569,3.64125579583432,7.87580511937295,80.999721883363,380.498254946457,0.00946673105266162,0.0215134532793939,0.00327351057762172,0.939239400462806,0.015419904367757,0.0400539754699113,0.00528671969952532,12,3,13,18,53,0
32.1333774153581,31.4073127832014,25.0502410598432,1.71597775688397,7.22456569686212,54.5895002920785,259.056844576603,0.0174719741469838,0.0448441581068662,0.00654051046376116,0.887633153425747,0.0267494906800532,0.0739084619847063,0.0117088939094933,12,3,14,12,3,0
8.52563860355175,8.90297414537988,6.56849555811358,0.702545919996251,2.22557621503827,32.6806243042369,43.9836453337077,0.03658624003175,0.0902143107292272,0.0165580098310513,0.795088126740049,0.0488116099040788,0.128777738265357,0.0273225250905159,12,3,14,4,54,0
8.52563860355175,8.90297414537988,6.56849555811358,0.702545919996251,2.22557621503827,32.6806243042369,43.9836453337077,0.03658624003175,0.0902143107292272,0.0165580098310513,0.795088126740049,0.0488116099040788,0.128777738265357,0.0273225250905159,12,3,14,4,54,0
19.1960258809815,16.6910443192769,7.79298363546362,2.77560784865074,11.4030422455178,51.3785960259312,561.0986301777,0.0102181969009531,0.0230500993257947,0.00348350501025161,0.933768341420285,0.0174737220714908,0.042682578756485,0.0060753577517388,12,3,14,1,50,0
19.1960258809815,16.6910443192769,7.79298363546362,2.77560784865074,11.4030422455178,51.3785960259312,561.0986301777,0.0102181969009531,0.0230500993257947,0.00348350501025161,0.933768341420285,0.0174737220714908,0.042682578756485,0.0060753577517388,12,3,14,1,50,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,15,11,40,54,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
21.7807175557762,14.5844807840449,4.99760697579736,7.20371021267746,16.7831105799789,305.19544386656,1625.78250508178,0.0073149955584944,0.0202969308046752,0.0025614760119054,0.947130326238086,0.0121218562551653,0.0364899145747324,0.00425790293201623,11,12,8,5,1,0
37.6875411895996,26.7897118998035,15.5245599852376,11.0359349050552,22.2059728946806,404.482748934748,1717.96502720211,0.00717702595063228,0.0176775046006415,0.00253306021028468,0.955464095123464,0.0106347153094625,0.0297860683978725,0.00411512116920072,11,12,8,5,1,0
38.2364297660577,27.1417830227088,15.992301023113,11.107763708631,22.2441287429447,400.199450358856,1720.61393569905,0.0064453300031832,0.0163720633647029,0.00210550266898475,0.957712896122983,0.00982799378930381,0.0287908414246202,0.00366826866309304,11,12,8,5,1,0
38.2364297660577,27.1417830227088,15.992301023113,11.107763708631,22.2441287429447,400.199450358856,1720.61393569905,0.0064453300031832,0.0163720633647029,0.00210550266898475,0.957712896122983,0.00982799378930381,0.0287908414246202,0.00366826866309304,11,12,8,5,1,0
37.6875411895996,26.7897118998035,15.5245599852376,11.0359349050552,22.2059728946806,404.482748934748,1717.96502720211,0.00717702595063228,0.0176775046006415,0.00253306021028468,0.955464095123464,0.0106347153094625,0.0297860683978725,0.00411512116920072,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
6.45521659757624,4.00707861155307,1.7138619201726,2.45666515136756,4.74135738329491,55.9609193549791,190.043203509983,0.0496984746903386,0.0864020493525257,0.0221169581825718,0.803759441312822,0.0574540919080506,0.109068622974874,0.0297178438042528,11,30,8,38,48,0
18.7313866945511,13.2913001707629,5.2427220723531,5.48463426564619,13.488664622198,128.004388420662,749.681682045475,0.016711321216361,0.0469195223485431,0.00628352145681639,0.89574276540971,0.022339731764377,0.0706306783247777,0.0112868245011349,11,30,8,38,48,0
24.44855510546,19.7505418720655,4.30128672647763,4.84321664045178,20.1472683789824,92.7314266466242,1157.81092261709,0.0134434733008751,0.0343080010180848,0.00552280206299352,0.928617045382674,0.0169494022569143,0.0456119380202799,0.00882161434013221,11,11,12,16,6,0
11.7037856354109,9.32889437595377,3.23632285616372,2.48950305938039,8.46746277924718,51.3832533756981,424.671764106958,0.0261500910413318,0.051676243303154,0.0102893618222367,0.876045447208338,0.033642362980298,0.072650925913276,0.0176612638980878,11,7,9,45,8,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
11.7037856354109,9.32889437595377,3.23632285616372,2.48950305938039,8.46746277924718,51.3832533756981,424.671764106958,0.0261500910413318,0.051676243303154,0.0102893618222367,0.876045447208338,0.033642362980298,0.072650925913276,0.0176612638980878,11,7,9,45,8,0
24.44855510546,19.7505418720655,4.30128672647763,4.84321664045178,20.1472683789824,92.7314266466242,1157.81092261709,0.0134434733008751,0.0343080010180848,0.00552280206299352,0.928617045382674,0.0169494022569143,0.0456119380202799,0.00882161434013221,11,11,12,16,6,0
18.7313866945511,13.2913001707629,5.2427220723531,5.48463426564619,13.488664622198,128.004388420662,749.681682045475,0.016711321216361,0.0469195223485431,0.00628352145681639,0.89574276540971,0.022339731764377,0.0706306783247777,0.0112868245011349,11,30,8,38,48,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
37.214824448096,26.255667688901,15.1894260256759,10.9729334903298,22.02539842242,397.24749207181,1717.47407951155,0.00697171658741069,0.0175774522641387,0.0024816015624891,0.955402586513762,0.0104853925404134,0.0299918488877168,0.0041201720581076,11,12,8,5,1,0
18.7313866945511,13.2913001707629,5.2427220723531,5.48463426564619,13.488664622198,128.004388420662,749.681682045475,0.016711321216361,0.0469195223485431,0.00628352145681639,0.89574276540971,0.022339731764377,0.0706306783247777,0.0112868245011349,11,30,8,38,48,0
